# Size ExpectedDensity IndexOfInstance timeLCL DensityLCL timeGreedy DensityGreedy
200 0.04 42 0 1007 20 1019
200 0.04 43 1 1044 20 1051
200 0.04 44 1 1068 19 1053
200 0.04 45 1 1107 20 1114
200 0.04 46 1 1078 18 1025
200 0.04 47 1 1056 20 919
200 0.04 48 1 1023 18 980
200 0.04 49 0 992 23 987
200 0.04 50 1 1020 21 1011
200 0.05 0 1 1194 17 1174
200 0.05 1 0 1250 19 1269
200 0.05 2 1 1188 15 1168
200 0.05 3 1 1185 17 1226
200 0.05 4 1 1254 18 1195
200 0.05 5 1 1235 19 1255
200 0.05 6 1 1194 17 1215
200 0.05 7 1 1189 19 1221
200 0.05 8 2 1116 17 1147
200 0.05 9 1 1225 22 1217
200 0.05 10 1 1190 24 1192
200 0.05 11 0 1143 17 1221
200 0.05 12 0 1216 19 1270
200 0.05 13 1 1252 17 1213
200 0.05 14 1 1212 16 1265
200 0.05 15 1 1187 15 1186
200 0.05 16 0 1216 16 1194
200 0.05 17 1 1114 15 1177
200 0.05 18 2 1140 16 1122
200 0.05 19 2 1223 15 1227
200 0.05 20 1 1217 16 1182
200 0.05 21 0 1214 17 1215
200 0.05 22 0 1138 17 1130
200 0.05 23 1 1274 16 1332
200 0.05 24 1 1154 17 1241
200 0.05 25 1 1257 15 1276
200 0.05 26 1 1232 18 1288
200 0.05 27 1 1201 16 1180
200 0.05 28 1 1158 16 1100
200 0.05 29 1 1235 15 1185
200 0.05 30 0 1205 15 1170
200 0.05 31 1 1121 17 1163
200 0.05 32 1 1157 14 1101
200 0.05 33 1 1197 15 1281
200 0.05 34 1 1135 15 1104
200 0.05 35 1 1089 21 1225
200 0.05 36 1 1249 17 1212
200 0.05 37 1 1113 17 1165
200 0.05 38 0 1144 15 1152
200 0.05 39 1 1217 17 1279
200 0.05 40 2 1179 19 1184
200 0.05 41 1 1199 14 1157
200 0.05 42 1 1192 15 1148
200 0.05 43 1 1096 14 1093
200 0.05 44 1 1183 17 1201
200 0.05 45 1 1207 15 1242
200 0.05 46 1 1218 16 1226
200 0.05 47 1 1240 18 1147
200 0.05 48 1 1143 17 1201
200 0.05 49 1 1186 17 1231
200 0.05 50 0 1191 16 1233
200 0.1 0 1 2102 5 2088
200 0.1 1 2 2085 4 2082
200 0.1 2 1 1931 3 1980
200 0.1 3 1 1977 7 1996
200 0.1 4 1 2184 5 2200
200 0.1 5 2 2166 6 2185
200 0.1 6 1 2076 5 2115
200 0.1 7 1 2102 4 2099
200 0.1 8 1 2032 4 2047
200 0.1 9 1 2042 4 2054
200 0.1 10 2 1988 4 2003
200 0.1 11 2 1998 4 2035
200 0.1 12 1 2067 4 2075
200 0.1 13 1 2050 4 2056
200 0.1 14 1 2264 5 2268
200 0.1 15 1 2207 5 2230
200 0.1 16 1 2021 5 2054
200 0.1 17 1 2072 4 2064
200 0.1 18 1 2086 4 2090
200 0.1 19 1 1986 4 1994
200 0.1 20 1 2127 5 2133
200 0.1 21 2 2143 6 2163
200 0.1 22 1 2006 4 2034
200 0.1 23 1 1978 4 1999
200 0.1 24 1 2132 4 2120
200 0.1 25 1 2018 4 2026
200 0.1 26 1 2039 5 2072
200 0.1 27 1 2093 3 2094
200 0.1 28 1 2093 5 2115
200 0.1 29 1 2117 5 2158
200 0.1 30 1 2106 3 2147
200 0.1 31 2 2022 6 2048
200 0.1 32 1 2022 6 2014
200 0.1 33 2 2012 5 2031
200 0.1 34 2 2202 8 2205
200 0.1 35 3 2046 7 2096
200 0.1 36 1 2125 9 2169
200 0.1 37 1 2071 7 2104
200 0.1 38 1 2084 11 2095
200 0.1 39 1 1926 7 1940
200 0.1 40 2 2048 5 2065
200 0.1 41 1 2106 4 2105
200 0.1 42 1 2111 5 2095
200 0.1 43 2 2191 7 2204
200 0.1 44 2 2238 6 2218
200 0.1 45 1 1986 4 2022
200 0.1 46 2 2172 6 2162
200 0.1 47 1 2037 9 2043
200 0.1 48 1 1957 4 1975
200 0.1 49 1 2158 5 2220
200 0.1 50 2 2063 6 2081
200 0.2 0 2 6454 1 6454
200 0.2 1 2 6652 0 6652
200 0.2 2 2 6346 1 6346
200 0.2 3 1 6221 1 6221
200 0.2 4 1 6111 1 6111
200 0.2 5 1 6466 1 6466
200 0.2 6 2 6418 0 6418
200 0.2 7 3 6390 1 6390
200 0.2 8 2 6474 1 6474
200 0.2 9 2 6197 0 6197
200 0.2 10 2 6311 1 6311
200 0.2 11 1 6341 1 6341
200 0.2 12 2 6420 1 6420
200 0.2 13 3 6265 0 6265
200 0.2 14 3 6488 0 6488
200 0.2 15 2 6147 1 6147
200 0.2 16 2 6429 1 6429
200 0.2 17 1 6227 1 6227
200 0.2 18 1 6284 1 6284
200 0.2 19 1 6512 1 6512
200 0.2 20 2 6332 1 6332
200 0.2 21 2 6285 0 6285
200 0.2 22 3 6320 0 6320
200 0.2 23 2 6416 1 6416
200 0.2 24 4 6164 0 6164
200 0.2 25 2 6288 0 6288
200 0.2 26 2 6428 1 6428
200 0.2 27 2 6310 1 6310
